,precision,recall,f1-score,support
ARG0,0.375,1.0,0.5454545454545454,3.0
ARG1,1.0,0.5,0.6666666666666666,8.0
ARG2,0.0,0.0,0.0,3.0
ARGM-DIS,0.0,0.0,0.0,1.0
ARGM-LOC,0.0,0.0,0.0,0.0
ARGM-MNR,0.0,0.0,0.0,1.0
ARGM-NEG,0.0,0.0,0.0,0.0
ARGM-TMP,0.0,0.0,0.0,1.0
_,1.0,0.5,0.6666666666666666,2.0
accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
macro avg,0.2638888888888889,0.2222222222222222,0.20875420875420872,19.0
weighted avg,0.5855263157894737,0.42105263157894735,0.4370015948963317,19.0
